,start_ts,weather_conditions,duration_seconds
335,2017-11-11 08:00:00,Good,1380.0
336,2017-11-11 10:00:00,Good,1560.0
337,2017-11-04 16:00:00,Bad,2880.0
338,2017-11-25 16:00:00,Good,1620.0
339,2017-11-11 17:00:00,Good,2040.0
340,2017-11-18 08:00:00,Bad,1440.0
341,2017-11-25 15:00:00,Good,1672.0
342,2017-11-11 16:00:00,Good,2141.0
343,2017-11-11 06:00:00,Good,1260.0
344,2017-11-04 17:00:00,Bad,2880.0
345,2017-11-11 17:00:00,Good,2271.0
346,2017-11-11 18:00:00,Good,2606.0
347,2017-11-11 17:00:00,Good,2460.0
348,2017-11-11 12:00:00,Good,1800.0
349,2017-11-04 06:00:00,Good,1547.0
350,2017-11-11 08:00:00,Good,1320.0
351,2017-11-11 17:00:00,Good,2580.0
352,2017-11-11 14:00:00,Good,2280.0
353,2017-11-25 18:00:00,Good,4140.0
354,2017-11-25 11:00:00,Good,7440.0
355,2017-11-11 16:00:00,Good,2400.0
356,2017-11-04 16:00:00,Bad,2618.0
357,2017-11-04 05:00:00,Good,1320.0
358,2017-11-18 16:00:00,Bad,2820.0
359,2017-11-18 16:00:00,Bad,2820.0
360,2017-11-04 14:00:00,Good,2940.0
361,2017-11-04 14:00:00,Good,2940.0
362,2017-11-11 15:00:00,Good,2274.0
363,2017-11-04 07:00:00,Good,1440.0
364,2017-11-11 10:00:00,Good,1709.0
365,2017-11-04 12:00:00,Good,2761.0
366,2017-11-11 14:00:00,Good,2400.0
367,2017-11-11 11:00:00,Good,1620.0
368,2017-11-11 06:00:00,Good,1354.0
369,2017-11-04 06:00:00,Good,1473.0
370,2017-11-11 09:00:00,Good,1200.0
371,2017-11-11 11:00:00,Good,1596.0
372,2017-11-04 19:00:00,Good,2037.0
373,2017-11-04 14:00:00,Good,3180.0
374,2017-11-25 15:00:00,Good,2040.0
375,2017-11-11 20:00:00,Good,1980.0
376,2017-11-11 04:00:00,Good,1620.0
377,2017-11-18 08:00:00,Bad,1680.0
378,2017-11-04 08:00:00,Good,1686.0
379,2017-11-18 14:00:00,Good,2940.0
380,2017-11-11 07:00:00,Good,1261.0
381,2017-11-18 12:00:00,Bad,2640.0
382,2017-11-11 11:00:00,Good,1140.0
383,2017-11-11 14:00:00,Good,2040.0
384,2017-11-11 11:00:00,Good,1440.0
385,2017-11-04 12:00:00,Good,2520.0
386,2017-11-04 16:00:00,Bad,3000.0
387,2017-11-11 06:00:00,Good,1380.0
388,2017-11-18 10:00:00,Bad,1610.0
389,2017-11-25 12:00:00,Good,1708.0
390,2017-11-18 05:00:00,Good,1422.0
391,2017-11-25 12:00:00,Good,1500.0
392,2017-11-18 10:00:00,Bad,1740.0
393,2017-11-04 14:00:00,Good,2982.0
394,2017-11-18 07:00:00,Bad,1322.0
395,2017-11-04 16:00:00,Bad,2894.0
396,2017-11-25 07:00:00,Good,1217.0
397,2017-11-04 17:00:00,Bad,2340.0
398,2017-11-11 17:00:00,Good,2640.0
399,2017-11-11 06:00:00,Good,1560.0
400,2017-11-04 14:00:00,Good,3427.0
401,2017-11-04 11:00:00,Good,2418.0
402,2017-11-04 18:00:00,Bad,2458.0
403,2017-11-11 14:00:00,Good,2400.0
404,2017-11-11 12:00:00,Good,1961.0
405,2017-11-11 18:00:00,Good,2885.0
406,2017-11-04 06:00:00,Good,1293.0
407,2017-11-11 08:00:00,Good,1320.0
408,2017-11-11 11:00:00,Good,1320.0
409,2017-11-04 15:00:00,Good,3615.0
410,2017-11-04 16:00:00,Bad,3420.0
411,2017-11-11 06:00:00,Good,1270.0
412,2017-11-11 07:00:00,Good,1335.0
413,2017-11-11 04:00:00,Good,1219.0
414,2017-11-18 05:00:00,Good,1336.0
415,2017-11-25 06:00:00,Good,1331.0
416,2017-11-11 09:00:00,Good,1571.0
417,2017-11-25 12:00:00,Good,2286.0
418,2017-11-04 07:00:00,Good,1563.0
419,2017-11-25 11:00:00,Good,1541.0
420,2017-11-25 11:00:00,Good,1680.0
421,2017-11-11 18:00:00,Good,3180.0
422,2017-11-11 04:00:00,Good,1338.0
423,2017-11-11 08:00:00,Good,1440.0
424,2017-11-11 13:00:00,Good,420.0
425,2017-11-11 07:00:00,Good,1440.0
426,2017-11-11 07:00:00,Good,1443.0
427,2017-11-11 12:00:00,Good,2700.0
428,2017-11-25 06:00:00,Good,1372.0
429,2017-11-04 10:00:00,Good,2286.0
430,2017-11-04 08:00:00,Good,1421.0
431,2017-11-04 13:00:00,Good,3203.0
432,2017-11-11 07:00:00,Good,1419.0
433,2017-11-11 14:00:00,Good,2220.0
434,2017-11-18 05:00:00,Good,1346.0
435,2017-11-25 12:00:00,Good,1553.0
436,2017-11-25 15:00:00,Good,2204.0
437,2017-11-04 14:00:00,Good,3528.0
438,2017-11-11 13:00:00,Good,2262.0
439,2017-11-11 14:00:00,Good,2100.0
440,2017-11-11 08:00:00,Good,1380.0
441,2017-11-11 13:00:00,Good,2091.0
442,2017-11-11 08:00:00,Good,1205.0
443,2017-11-18 03:00:00,Good,1259.0
444,2017-11-18 04:00:00,Good,1134.0
445,2017-11-04 10:00:00,Good,2694.0
446,2017-11-04 12:00:00,Good,2410.0
447,2017-11-11 09:00:00,Good,1440.0
448,2017-11-18 11:00:00,Good,2520.0
449,2017-11-18 10:00:00,Bad,1560.0
450,2017-11-11 06:00:00,Good,1200.0
451,2017-11-25 15:00:00,Good,2220.0
452,2017-11-25 17:00:00,Good,2160.0
453,2017-11-25 12:00:00,Good,1620.0
454,2017-11-04 10:00:00,Good,1860.0
455,2017-11-04 16:00:00,Bad,2820.0
456,2017-11-04 13:00:00,Good,3394.0
457,2017-11-11 14:00:00,Good,2820.0
458,2017-11-11 14:00:00,Good,2820.0
459,2017-11-11 10:00:00,Good,1560.0
460,2017-11-11 10:00:00,Good,1560.0
461,2017-11-11 12:00:00,Good,1968.0
462,2017-11-04 05:00:00,Good,1200.0
463,2017-11-04 10:00:00,Good,1860.0
464,2017-11-11 06:00:00,Good,1380.0
465,2017-11-11 18:00:00,Good,2460.0
466,2017-11-04 19:00:00,Good,1602.0
467,2017-11-25 07:00:00,Good,1409.0
468,2017-11-25 13:00:00,Good,1740.0
469,2017-11-11 17:00:00,Good,2460.0
470,2017-11-11 06:00:00,Good,1310.0
471,2017-11-18 07:00:00,Bad,1594.0
472,2017-11-11 14:00:00,Good,2412.0
473,2017-11-11 17:00:00,Good,2193.0
474,2017-11-11 09:00:00,Good,1874.0
475,2017-11-18 15:00:00,Good,2983.0
476,2017-11-04 14:00:00,Good,3540.0
477,2017-11-11 14:00:00,Good,2340.0
478,2017-11-11 07:00:00,Good,1200.0
479,2017-11-25 19:00:00,Good,2280.0
480,2017-11-11 11:00:00,Good,1380.0
481,2017-11-11 16:00:00,Good,2760.0
482,2017-11-18 15:00:00,Good,3000.0
483,2017-11-18 13:00:00,Bad,2700.0
484,2017-11-04 12:00:00,Good,3000.0
485,2017-11-18 13:00:00,Bad,3480.0
486,2017-11-04 17:00:00,Bad,2040.0
487,2017-11-18 10:00:00,Bad,1680.0
488,2017-11-11 14:00:00,Good,2280.0
489,2017-11-04 13:00:00,Good,2820.0
490,2017-11-18 12:00:00,Bad,2880.0
491,2017-11-04 16:00:00,Bad,2280.0
492,2017-11-11 15:00:00,Good,2285.0
493,2017-11-11 05:00:00,Good,1301.0
494,2017-11-18 12:00:00,Bad,3480.0
495,2017-11-18 16:00:00,Bad,2940.0
496,2017-11-18 16:00:00,Bad,2760.0
497,2017-11-18 10:00:00,Bad,1260.0
498,2017-11-11 11:00:00,Good,1736.0
499,2017-11-11 12:00:00,Good,2351.0
500,2017-11-11 16:00:00,Good,2220.0
501,2017-11-11 14:00:00,Good,2733.0
502,2017-11-04 17:00:00,Bad,2040.0
